3.3458,204.2
3.8518,409.1
4.3577,237.46
6.002,466.14
7.3933,377.23
7.8992,9.0375
10.049,264.91
11.188,201.16
12.958,72.152
13.844,57.101
13.97,227.47
14.982,361.04
15.109,324.86
15.994,480.06
17.512,337.89
17.765,508.01
17.891,466.14
19.915,101.12
22.571,486.51
23.077,185.1
26.998,214.19
27.538,82.8
27.883,265.04
27.93,129.83
28.01,322.21
28.389,295.77
28.895,34.713
28.895,72.279
32.31,249.99
33.116,140.96
38.128,97.196
40.026,247.2
40.026,50.018
40.152,348.01
41.923,374.95
42.049,404.93
45.211,332.83
46.097,443.12
46.223,27.251
47.994,497.13
49.132,191.05
51.03,307.79
51.915,125.91
55.077,357.88
55.204,240.25
56.009,95.678
56.089,375.08
56.974,13.844
57.101,319.93
57.986,262
58.492,305.01
58.492,62.792
58.998,183.08
60,336.97
60.895,204.96
61.022,211.16
61.025,495.99
65.069,56.721
66.966,71.899
70.002,166
70.301,104.28
71.017,492.96
71.14,262
72.532,273.39
72.658,294.13
72.831,124.9
72.914,451.98
73.796,182.07
73.843,99.725
73.969,148.93
78.858,43.978
80.879,384.18
82.018,285.02
82.4,418.59
82.906,450.97
83.033,470.07
83.662,155.88
83.662,354.71
84.8,334.98
86.065,366.1
86.827,440.97
86.827,508.9
89.354,212.04
89.989,431.24
91.125,25.227
91.125,121.23
92.895,74.049
93.025,492.96
95.298,172.96
95.298,195.35
95.551,15.868
95.931,295.14
96.184,322.21
96.943,50.018
98.84,104.03
101.24,206.6
104.03,475.25
104.07,153.1
105.04,497.89
106.18,190.16
109.34,383.93
109.89,104.03
111.24,474.24
112.63,442.11
112.88,452.48
113.89,347
117.05,285.15
118.82,233.42
119.96,47.994
120.72,78.982
121.1,34.208
121.99,478.03
122.79,56.089
124.9,455.9
126.29,209.64
127.09,127.17
127.85,143.24
128.05,266.93
128.92,197.08
129.58,427.69
133.08,185.25
133.8,62.919
134.56,81.006
135.74,346.49
137.8,402.9
137.93,441.1
137.93,205.29
138.81,476.9
139.91,372.18
141.92,335.87
142.77,230.97
142.87,321.07
